song_name,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
Closure,6:38,9.0,5.0,https://open.spotify.com/track/1uLvPbmVQdSazw4up0j2sD,https://p.scdn.co/mp3-preview/2e84fdf8ea983f985492c94e7ad1b44b10a304ee?cid=2490920ce5574a1a9b97a3e366c39dd3,The Valiant Fire,2015-03-27,9.0,https://i.scdn.co/image/ab67616d00001e028141ef92836a71e74e44847f,https://open.spotify.com/album/6OjCmfAeNBPt4LZt33MSBY,Damnation Angels,https://open.spotify.com/artist/2eEhQPfMLCsfp86DtyMH2D
The Arena,3:53,37.0,1.0,https://open.spotify.com/track/1nmaCgWSxAtNlo35OpKzW6,https://p.scdn.co/mp3-preview/3a4f2a14cd2b60ac2de3e159a63da3004fe1546c?cid=2490920ce5574a1a9b97a3e366c39dd3,The Arena,2018-04-13,1.0,https://i.scdn.co/image/ab67616d00001e02b9327fc367e7294b88577671,https://open.spotify.com/album/3O9Zy5jon3L6ARqj8za5cZ,Jason Richardson,https://open.spotify.com/artist/4fsZkYcSEUEvZK2tEjzrVY
Above the Sky,5:51,44.0,1.0,https://open.spotify.com/track/02WitL66kM2ObNDkM95rFD,https://p.scdn.co/mp3-preview/0143eb9bef4bb4b138af9989fa3375019a363e1c?cid=2490920ce5574a1a9b97a3e366c39dd3,Above the Sky,2019-06-07,12.0,https://i.scdn.co/image/ab67616d00001e02c097a06bab3b8045b498e28c,https://open.spotify.com/album/21Ddhc4WxWEWaRZbnQiOeS,Majestica,https://open.spotify.com/artist/52lkxAYfC9ypaPJ2EB22ki
Paranomo,3:12,33.0,1.0,https://open.spotify.com/track/3rvWnI645ZIz2je56iXIyB,https://p.scdn.co/mp3-preview/4f42541b16b64c86430d8cf0028bae2649c16df3?cid=2490920ce5574a1a9b97a3e366c39dd3,Adyto,2019-03-13,12.0,https://i.scdn.co/image/ab67616d00001e02ad1bef56770866092570e2ef,https://open.spotify.com/album/2ZYRap1o9GuuxOXwY1FHev,Anser,https://open.spotify.com/artist/3peCLl6eMLh8lJyRUt4jc8
Sons of Winter and Stars,13:31,42.0,2.0,https://open.spotify.com/track/6EJfuLTl01JoGXt8rtM1rd,https://p.scdn.co/mp3-preview/aa5fb6fbcb701649a5676d56a67165c63661bd94?cid=2490920ce5574a1a9b97a3e366c39dd3,Time I,2012-10-19,5.0,https://i.scdn.co/image/ab67616d00001e0278466f5ee5abbde34bd00535,https://open.spotify.com/album/0V32xSGyy0TyOzbc5ufoWX,Wintersun,https://open.spotify.com/artist/6ui6SwChan7c1KYBQCqGKV
Twilight Of The Thunder God,4:08,64.0,1.0,https://open.spotify.com/track/5u3l2TONYacJgmRPQVaF9y,https://p.scdn.co/mp3-preview/9e7ec9ec1ff9939bcc4bee396b286625c1193acf?cid=2490920ce5574a1a9b97a3e366c39dd3,Twilight Of The Thunder God,2008-09-30,10.0,https://i.scdn.co/image/ab67616d00001e029203fd1f5c23f0ad92ce63fa,https://open.spotify.com/album/3j0GCUTDz53x9Mzl8L1Fwz,Amon Amarth,https://open.spotify.com/artist/3pulcT2wt7FEG10lQlqDJL
Rivers Between Us,6:47,39.0,8.0,https://open.spotify.com/track/5D8vKv4c8AXWZpO9OSpMN5,https://p.scdn.co/mp3-preview/788df4efa069fd2476f390ee1ef2c1717f32a856?cid=2490920ce5574a1a9b97a3e366c39dd3,Sovran,2015-10-30,10.0,https://i.scdn.co/image/ab67616d00001e0286d9bcac5d2a564d87fb1f9a,https://open.spotify.com/album/3Dp4iMcoax0q70S9GJZvBv,Draconian,https://open.spotify.com/artist/1TX9g1uSl0B0DQIE9lBqmU
Night Call Girl,4:43,40.0,6.0,https://open.spotify.com/track/32mo62HV6UnPv93OopHCxs,https://p.scdn.co/mp3-preview/dae4bab5256ffc997c927538e9d60cce8a7650ea?cid=2490920ce5574a1a9b97a3e366c39dd3,Above the Sky,2019-06-07,12.0,https://i.scdn.co/image/ab67616d00001e02c097a06bab3b8045b498e28c,https://open.spotify.com/album/21Ddhc4WxWEWaRZbnQiOeS,Majestica,https://open.spotify.com/artist/52lkxAYfC9ypaPJ2EB22ki
Honor Him,1:19,50.0,16.0,https://open.spotify.com/track/0p21vI2StdprWPtAGftM5c,https://p.scdn.co/mp3-preview/2f6daece6e34de8f0a9df50521282a410d17165d?cid=2490920ce5574a1a9b97a3e366c39dd3,Gladiator - Music From The Motion Picture,2000-04-25,17.0,https://i.scdn.co/image/ab67616d00001e02f3a2d7f692fcad25284c5f1e,https://open.spotify.com/album/0mN9E0N4bRBD7GKktlaRI0,The Lyndhurst Orchestra,https://open.spotify.com/artist/6djeIA7Gl9v9gvnpRc1eIF
I Am the Storm,4:22,29.0,5.0,https://open.spotify.com/track/797Hv92nvrmVBaCFV2QLqV,https://p.scdn.co/mp3-preview/d17756c06f1d031ab6800cf88279ba4b862a3238?cid=2490920ce5574a1a9b97a3e366c39dd3,Chapter I - Monarchy,2020-04-03,15.0,https://i.scdn.co/image/ab67616d00001e025ef2b5cf848e8cf0e656d10b,https://open.spotify.com/album/4oc3Yo2BGbUofcp36YBIzX,Ad Infinitum,https://open.spotify.com/artist/2X3qFQFHkm1sOGo5ppIoSD
Finding Requiem,7:04,13.0,1.0,https://open.spotify.com/track/5iwivX7D5NkkUA9EzdiTsN,https://p.scdn.co/mp3-preview/e97bae3a472b30446101987d0f23196d5abb2ebe?cid=2490920ce5574a1a9b97a3e366c39dd3,The Valiant Fire,2015-03-27,9.0,https://i.scdn.co/image/ab67616d00001e028141ef92836a71e74e44847f,https://open.spotify.com/album/6OjCmfAeNBPt4LZt33MSBY,Damnation Angels,https://open.spotify.com/artist/2eEhQPfMLCsfp86DtyMH2D
La Venus - Acoustic Version,4:40,27.0,1.0,https://open.spotify.com/track/1W44nFtYiD7WLRPUT2QNvj,https://p.scdn.co/mp3-preview/751c0114bf829f5cf626f7ec46b9d0ce0ee0c509?cid=2490920ce5574a1a9b97a3e366c39dd3,We Are X Soundtrack,2017-03-03,14.0,https://i.scdn.co/image/ab67616d00001e0252ca83183259884818af579c,https://open.spotify.com/album/1WRUpGFTIuhkpvmAABjjzI,X JAPAN,https://open.spotify.com/artist/4VrqQQy6X0hlMtqY5gp6Wx
See You In Hell,3:49,47.0,4.0,https://open.spotify.com/track/5JfXImbIiGSH2tOUWnGJty,https://p.scdn.co/mp3-preview/b8d5cbcfc074be8f58c88f0fa0604ab9986c49b5?cid=2490920ce5574a1a9b97a3e366c39dd3,Chapter I - Monarchy,2020-04-03,15.0,https://i.scdn.co/image/ab67616d00001e025ef2b5cf848e8cf0e656d10b,https://open.spotify.com/album/4oc3Yo2BGbUofcp36YBIzX,Ad Infinitum,https://open.spotify.com/artist/2X3qFQFHkm1sOGo5ppIoSD
Marching On Versailles,3:52,43.0,2.0,https://open.spotify.com/track/55soLA9gH7BZYJI4nC7YCq,https://p.scdn.co/mp3-preview/1889283aa820919cdaa7b8e81b6c9e3770692150?cid=2490920ce5574a1a9b97a3e366c39dd3,Chapter I - Monarchy,2020-04-03,15.0,https://i.scdn.co/image/ab67616d00001e025ef2b5cf848e8cf0e656d10b,https://open.spotify.com/album/4oc3Yo2BGbUofcp36YBIzX,Ad Infinitum,https://open.spotify.com/artist/2X3qFQFHkm1sOGo5ppIoSD
When the Lights Are Down,3:41,52.0,2.0,https://open.spotify.com/track/44mommx98x2Dh3Ud9fdbym,https://p.scdn.co/mp3-preview/e783065c2cbf0c725c3be3a823633f43b99e1459?cid=2490920ce5574a1a9b97a3e366c39dd3,The Black Halo,2005-03-15,16.0,https://i.scdn.co/image/ab67616d00001e025b9b5d2578018c632748d8e1,https://open.spotify.com/album/6wQmnnsxRylnJYDKwwxy8r,Kamelot,https://open.spotify.com/artist/7gTbq5nTZGQIUgjEGXQpOS
True Survivor,3:47,18.0,11.0,https://open.spotify.com/track/6CWnIJ2LM61ggbFEILAQ7O,https://p.scdn.co/mp3-preview/f4906b33f892a5a15a6d196e0ddd3adafd8480dd?cid=2490920ce5574a1a9b97a3e366c39dd3,Shadowplay,2015-09-25,12.0,https://i.scdn.co/image/ab67616d00001e023f6bd2caf0b74c2fa7bcebc4,https://open.spotify.com/album/5g0iPdxMTB7is4Haxv3Nrr,Dragony,https://open.spotify.com/artist/4ZGFYwFpBWxq6FxqilvRJT
"Someone Else, Pt. 2",5:53,11.0,6.0,https://open.spotify.com/track/0G7PB21lJjVXk179sKqMR5,https://p.scdn.co/mp3-preview/20417b51eec21c3471887859e6bb96171e1b5f60?cid=2490920ce5574a1a9b97a3e366c39dd3,Bringer of Light,2013-02-22,10.0,https://i.scdn.co/image/ab67616d00001e02201d8352d84632d649754ea7,https://open.spotify.com/album/1FXcnaUWLKNQIeM4hFl6tW,Damnation Angels,https://open.spotify.com/artist/2eEhQPfMLCsfp86DtyMH2D
Infected Monarchy,5:46,32.0,1.0,https://open.spotify.com/track/7bNE3eCS7Yb17EzzizTl2J,https://p.scdn.co/mp3-preview/8c34ead6e65b9f5904015c6968c47fc448cd4bc5?cid=2490920ce5574a1a9b97a3e366c39dd3,Chapter I - Monarchy,2020-04-03,15.0,https://i.scdn.co/image/ab67616d00001e025ef2b5cf848e8cf0e656d10b,https://open.spotify.com/album/4oc3Yo2BGbUofcp36YBIzX,Ad Infinitum,https://open.spotify.com/artist/2X3qFQFHkm1sOGo5ppIoSD
This Is Who We Are,5:16,10.0,3.0,https://open.spotify.com/track/1soQioDEI2VnBLCYxfggpC,https://p.scdn.co/mp3-preview/8915ea5de688e2689f29d5722333ae8f9ea61f34?cid=2490920ce5574a1a9b97a3e366c39dd3,The Valiant Fire,2015-03-27,9.0,https://i.scdn.co/image/ab67616d00001e028141ef92836a71e74e44847f,https://open.spotify.com/album/6OjCmfAeNBPt4LZt33MSBY,Damnation Angels,https://open.spotify.com/artist/2eEhQPfMLCsfp86DtyMH2D
Icarus Syndrome,5:26,11.0,2.0,https://open.spotify.com/track/2s6hZEdj3K3TN4MWUypf1a,https://p.scdn.co/mp3-preview/0aa6e70d9ffbf111e188b69739be50dd975afebf?cid=2490920ce5574a1a9b97a3e366c39dd3,The Valiant Fire,2015-03-27,9.0,https://i.scdn.co/image/ab67616d00001e028141ef92836a71e74e44847f,https://open.spotify.com/album/6OjCmfAeNBPt4LZt33MSBY,Damnation Angels,https://open.spotify.com/artist/2eEhQPfMLCsfp86DtyMH2D
Ad Infinitum,7:08,6.0,2.0,https://open.spotify.com/track/61OCizJgUBZQAtgOC8Pfbh,https://p.scdn.co/mp3-preview/704ae5050aaab80bd22ed3fc3bf5f872cca7c89b?cid=2490920ce5574a1a9b97a3e366c39dd3,Dark Lights of Delirium,2018-08-18,9.0,https://i.scdn.co/image/ab67616d00001e0283aa6293be8fb653eaed8bc5,https://open.spotify.com/album/0Vrq3djLOTycudgWyuOibF,Sōlborn,https://open.spotify.com/artist/6OZxe9BMfBya7y1PkoZl0h
Reborn,4:21,12.0,3.0,https://open.spotify.com/track/373crAFbPE4uwBmFsgpJeU,https://p.scdn.co/mp3-preview/63e1108e3ab29180b0a1dd04e08ce0e8e85d0444?cid=2490920ce5574a1a9b97a3e366c39dd3,Bringer of Light,2013-02-22,10.0,https://i.scdn.co/image/ab67616d00001e02201d8352d84632d649754ea7,https://open.spotify.com/album/1FXcnaUWLKNQIeM4hFl6tW,Damnation Angels,https://open.spotify.com/artist/2eEhQPfMLCsfp86DtyMH2D
The Pursuit Of Vikings,4:30,57.0,4.0,https://open.spotify.com/track/0sObxZUKqdPfgjG9ahSlP5,https://p.scdn.co/mp3-preview/2cec7937dd721879d795ade19fe818236cbcee96?cid=2490920ce5574a1a9b97a3e366c39dd3,Fate of Norns,2004,8.0,https://i.scdn.co/image/ab67616d00001e0295e7594a7df822c720d45867,https://open.spotify.com/album/6eQNR9fAkQUFiIwJOVLt8N,Amon Amarth,https://open.spotify.com/artist/3pulcT2wt7FEG10lQlqDJL
Final Breath,5:36,10.0,1.0,https://open.spotify.com/track/6JmzfkojV1f2CNQbQkeMbx,https://p.scdn.co/mp3-preview/7781d91c7456ca9632d07778c17fd8cea07aede3?cid=2490920ce5574a1a9b97a3e366c39dd3,Final Breath,2013-07-07,15.0,https://i.scdn.co/image/ab67616d00001e02df7d2995f94fb3af08cc1709,https://open.spotify.com/album/3vk3INkm68tCYT3iVsA8Od,Break My Fucking Sky,https://open.spotify.com/artist/3mFTiX7WrhpcmoJLghp54A
